content,label
government adding chemicals to drinking water in major cities to control population growth exposed insider source,0
breaking secret nobody base discovered military hiding islamabad government underground in alien technology told you,0
arshad nadeem wins commonwealth breaking javelin throw at in games medal gold world record,1
exclusive leaked expose famous politician shows attack orders to video giving journalists who corruption exposed now,0
famous pakistani actor arrested for espionage shocking video being suppressed by intelligence agencies share now,0
secret meeting prime minister secretly holds talks with enemy agents at undisclosed location leaked sources confirm,0
supreme court in electoral federal to of pakistan issues notice government reforms case,1
breaking civil servant whistleblower exposes how billions in public funds diverted to offshore accounts of officials,0
pakistan launches e court system in num districts to reduce case backlog in judiciary department,1
chinese cameras installed across pakistan can read your thoughts using ai technology nobody told you this secret,0
civil aviation authority grants approval for three new domestic airline routes connecting smaller cities,1
water bottles with contaminated chemicals petrol at major whistleblower industrial reveals stations sold cover up,0
orange line operation of train records years first million two metro passengers in num in lahore,1
famous general reporting nobody mainstream at for treason media this complete midnight blackout arrested cover up,0
diamer bhasha dam construction reaches num percent completion ahead of original schedule targets,1
secret meeting prime agents location with enemy leaked secretly undisclosed at minister holds talks sources confirm,0
diamer bhasha construction original completion percent dam reaches of ahead num schedule targets,1
secret government inflation num figures percent fake official report reveals are above real that inflation hidden truth,0
higher education scholarships merit num commission announces public for university students nationwide,1
islamabad rawalpindi metro routes extended bus new covering to university three service area campuses,1
pakistan foreign exchange reserves increase to num billion dollars according to state bank,1
ml num railway upgrade project begins construction on karachi to peshawar main line corridor,1
ministry of it announces special economic zone for technology companies in islamabad capital territory,1
islamabad rawalpindi metro bus service extended to three new routes covering university area campuses,1
exposed num g towers in pakistani cities secretly spreading new disease government covering up thousands of deaths,0
scientist silenced after proving mobile phone radiation causes cancer in num months shocking leaked documents proof,0
who commends pakistan hepatitis c elimination programme as model for developing nations worldwide,1
federal investigation num cybercrime arrests bank suspects operation in agency targeting customers online,1
exposed num spreading new disease in up cities covering g thousands secretly towers government pakistani of deaths,0
exposed entire nobody technology you using was rigged shocking told finally foreign proof election revealed today,0
beloved celebrity secretly admitted to hospital in critical condition family hiding truth from fans share everywhere,0
university of engineering and technology lahore launches first quantum computing research laboratory,1
pakistan meteorological flooding for department in warning low potential monsoon issues advance lying areas,1
central bank shows as interest signs num cuts inflation rates basis by points of easing,1
beloved celebrity from to hospital admitted family critical condition secretly in hiding truth fans share everywhere,0
alert new sim card regulation allows government to spy on every call and message you make starting monday urgent,0
bank manager reveals that wealthy clients get special access to foreign currency ordinary people being cheated exposed,0
they dont want you to know this miracle cure for diabetes discovered and hidden by big pharma conspiracy,0
exclusive leaked video shows famous politician giving orders to attack journalists who expose corruption exposed now,0
imf approves num after pakistan dollar package for months billion bailout of negotiations,1
federal investigation agency arrests num suspects in cybercrime operation targeting bank customers online,1
arshad nadeem wins gold medal in javelin throw at commonwealth games breaking world record,1
secret tunnel told under parliament running illegal used for discovered building activities nobody you exposed proof,0
government planning elections next emergency reveal to cancel month shocking all declare insiders and truth urgent,0
national boxing asian held wins in team at championships medals three bangkok thailand,1
new study this drinking lemon hiding proves hours covid cures num cure water government miracle in from public,0
pakistan receives climate at cop finance billion num in dollars summit in num dubai conference,1
exposed entire election was rigged using foreign technology nobody told you shocking proof finally revealed today,0
pakistan remittances from overseas workers reach record num point num billion dollars in october,1
prime minister shanghai sidelines meets chinese on cooperation president of organisation summit,1
central bank cuts interest rates by num basis points as inflation shows signs of easing,1
all private forcibly signed secret children do nationalised being month order to next send not schools school now,0
sui southern gas gas successful company major pipeline repair in of damaged reports recent earthquake,1
pakistan cricket final asia defeats at num team cup india wickets by in colombo stadium,1
pakistan plants billion trees programme num independent verified by under restoration international auditors,1
natural herb cancers and found pakistan in all mountains hiding cures pharmaceutical companies doctors this cure,0
whistleblower from reveals numbers patient inside fake to reporting health hospitals department steal government funds,0
senate standing accountability national committee approves to bureau amendments ordinance today,1
pesticide levels in vegetables num times legal limit government hiding report to protect influential farmers now,0
famous general arrested for treason at midnight nobody reporting this mainstream media blackout complete cover up,0
pakistan international airlines resumes direct flights to three european destinations after safety certification,1
pakistan it exports grow by num percent reaching num point num billion dollars in fiscal year,1
exposed mobile all customers for charging bribed services regulator companies nonexistent to ignore complaints filed,0
competition commission company violating of imposes pakistan mobile fine consumer on for protection regulations,1
exposed hospital reveals organs from harvesting whistleblower patients secretly poor shocking truth being suppressed,0
state bank of pakistan raises key interest rate by num basis points to control inflation,1
pesticide levels government report in num vegetables limit times influential legal to protect hiding farmers now,0
new gwadar international airport inaugurated with capacity for num million passengers annually starting num,1
shocking top fuel that petrol reveals benefit fixed to businessman prices specific imported company conspiracy proof,0
government secretly printing num trillion rupees causing hyperinflation they are blaming on oil prices exposed truth,0
cpec phase two projects worth num billion dollars approved by joint cooperation committee members,1
election commission of pakistan announces schedule for by elections in num constituencies nationwide,1
pcb announces with tests and three series home australia against odis starting five next month,1
famous politician caught on hidden camera stealing billions share before this video gets deleted tonight urgent,0
new whatsapp to contains spyware sends update messages all reads private government that and your database now,0
former intelligence foreign official that reveals news on of intelligence payroll anchor popular agency exposed,0
facebook secretly is off conversations to recording when selling foreign phone all data even intelligence agencies,0
finance minister announces in levy petroleum global drop following in reduction oil prices,1
inside source reveals that recent terrorist attack was false flag operation planned by foreign intelligence agency,0
water bottles sold at major petrol stations contaminated with industrial chemicals whistleblower reveals cover up,0
pakistan it reaching point billion dollars num exports num in percent grow by num fiscal year,1
breaking senior minister caught accepting bribes on hidden camera video deleted from internet but we have it now,0
imf approves num billion dollar bailout package for pakistan after months of negotiations,1
ministry of water resources inaugurates new irrigation canal benefiting num farmers in sindh province,1
national assembly passes budget with num votes in favour and num against after long debate,1
popular tv anchor goes missing after revealing government corruption mainstream media completely silent about this,0
doctors are hiding this simple cure for cancer that costs nothing big pharma does not want you to know truth,0
shocking fluoride in toothpaste slowly poisoning entire population government knows and is hiding truth from you,0
property prices num hidden secret insider from percent collapse year report source next public will reveals truth,0
sui southern gas company reports successful repair of major gas pipeline damaged in recent earthquake,1
pakistan squash player reaches world open final defeating world number two seed in semis,1
ministry of centre commerce export help businesses access launches small to facilitation international markets,1
national electric power regulatory authority approves new tariff structure for commercial electricity consumers,1
secret government report reveals that official inflation figures are fake real inflation above num percent hidden truth,0
top model airport being full friends hidden with at items story in smuggled powerful by arrested government today,0
government partners with microsoft to train num youth in digital skills by num deadline,1
cooking oil sold in pakistan contains cancer causing substance government lab report hidden from consumers truth,0
national boxing team wins three medals at asian championships held in bangkok thailand,1
federal minister resigns citing personal reasons days before vote of confidence motion,1
new whatsapp update contains spyware that reads all your private messages and sends to government database now,0
secret tunnel discovered running under parliament building used for illegal activities nobody told you exposed proof,0
senate standing committee approves amendments to national accountability bureau ordinance today,1
ministry of water num new resources benefiting farmers irrigation in canal inaugurates sindh province,1
exposed reality of famous islamic scholar hidden from public shocking details finally come to light today urgent,0
wake up reveals vaccines microchips contain government control whistleblower all shocking mind for proof inside,0
inflation rate down percent num to recorded in from falls num percent pakistan last year,1
famous sportsman hiding truth for shocking tests substances from evidence team positive public banned revealed now,0
exposed reality public details of islamic famous from scholar light hidden to finally come shocking today urgent,0
national curriculum introduces grade compulsory coding from num as in council subject all schools,1
president gives by parliament bill protection assent to digital rights passed last week,1
facebook secretly recording all conversations even when phone is off selling data to foreign intelligence agencies,0
university admission process completely rigged wealthy families pay num million rupees for guaranteed seats exposed,0
provincial government by spending discretionary announces measures cutting austerity num percent,1
pakistan plants num billion trees under restoration programme verified by independent international auditors,1
popular chicken brand using banned chemicals and expired meat in products inspector paid off to ignore violations,0
shocking pakistan army using public funds to build luxury residences for generals while soldiers struggle revealed,0
leaked army shocking evidence general meeting secretly agents enemy and intelligence exposed video being deleted,0
cabinet approves national security economic policy new focus security with on and stability,1
shocking truth num dollar rupees reveals will collapse friday next by banker insider to everything shocking,0
opposition leader confesses to conspiracy against state in leaked audio recording being hidden by all media,0
gold will reach num rupees per tola by end of year insider trader reveals shocking market manipulation proof,0
pakistan foreign exchange according num to to dollars billion increase reserves state bank,1
ml num peshawar karachi begins construction main project railway upgrade on to line corridor,1
shaheen afridi named at ceremony cricketer year of test the awards men annual icc in dubai,1
state bank pakistan international economic governor outlining monetary addresses conference recovery roadmap,1
state bank by rate basis key to of num raises interest points pakistan control inflation,1
cooking oil substance lab sold pakistan in causing contains from cancer report hidden government consumers truth,0
lahore ring connecting completed road road motorway gt extension interchange with reducing traffic,1
chief justice metropolitan suo rate of in motu takes notice crime cities rising across pakistan,1
doctors are cancer costs nothing big not simple hiding cure you to that pharma this want does for know truth,0
national curriculum council introduces coding as compulsory subject from grade num in all schools,1
chinese cameras thoughts ai installed pakistan across your can you read told technology nobody using this secret,0
prime minister meets chinese president on sidelines of shanghai cooperation organisation summit,1
shocking pakistan luxury residences public while army to for soldiers build using generals funds struggle revealed,0
pakistan trade of num deficit fiscal in narrows first percent quarter by year num,1
government adding cities major control water to drinking population to exposed in growth chemicals insider source,0
num g towers emit radiation equivalent to num nuclear bombs health officials paid to stay silent truth exposed,0
new app to installed and your government tracks sends intelligence phones reports location by on all database alert,0
orange line metro train records num million passengers in first two years of operation in lahore,1
indus river pakistan to to num annual rises dolphin population according wwf wildlife survey,1
ministry of decline dengue fever in reports health percent num compared to cases previous year,1
national electric authority power commercial regulatory structure approves tariff new for electricity consumers,1
shaheen afridi named icc men test cricketer of the year at annual awards ceremony in dubai,1
government launches crackdown following in deaths on reported medicines counterfeit punjab hospital,1
federal budget num allocates num billion rupees for defence and num billion for education,1
pakistan remittances overseas dollars workers num record from billion num point reach in october,1
pakistan football round fifa world of qualifies team third for num cup qualifiers successfully,1
government launches crackdown on counterfeit medicines following deaths reported in punjab hospital,1
punjab police across launches num law smart surveillance improve to cities system enforcement capabilities,1
government announces medium small scheme and new amnesty enterprises for tax in pakistan,1
exposed hospital secretly harvesting organs from poor patients whistleblower reveals shocking truth being suppressed,0
punjab government launches free wifi initiative in num public parks and libraries across province,1
whistleblower from inside health department reveals hospitals reporting fake patient numbers to steal government funds,0
ministry of commerce launches export facilitation centre to help small businesses access international markets,1
bank manager clients foreign to currency access reveals being special that get wealthy ordinary people cheated exposed,0
top model arrested at airport with smuggled items full story being hidden by powerful friends in government today,0
private school owners officials bribe fees to to illegal in taking government confess charging millions ignore this,0
pakistan squash world defeating two open seed player number world final reaches in semis,1
pakistan hockey federation announces squad of num players for asian games num tournament,1
government announces num by power plants shedding reduce num load solar cities to in hours daily,1
pakistan cricket team defeats india by num wickets in asia cup final at colombo stadium,1
leaked document shows government knew about upcoming earthquake weeks ago but hid warning to avoid panic exposed,0
natural herb found in pakistan mountains cures all cancers doctors and pharmaceutical companies hiding this cure,0
leaked document weeks but shows knew government earthquake about avoid upcoming to hid warning ago panic exposed,0
secret plan water at to approved is to media midnight resources india nobody sell in pakistan reporting this,0
karachi stock exchange benchmark index rises num points on positive economic sentiment,1
pakistan going month while abroad bankrupt hiding moving politicians truth this money government share immediately,0
breaking senior bribes we minister accepting caught hidden deleted camera have on but from internet video it now,0
famous pakistani being by actor for arrested video espionage agencies shocking intelligence suppressed share now,0
this common days never num cures about this tell item household will you doctors diabetes in secret treatment,0
former intelligence official reveals that popular news anchor on payroll of foreign intelligence agency exposed,0
pakistan football team qualifies for third round of fifa world cup num qualifiers successfully,1
chief justice takes suo motu notice of rising crime rate in metropolitan cities across pakistan,1
famous fast pakistan burgers rat in results food laboratory shocking using meat chains test in exposed today,0
imported medicines being sold at num times actual cost pharmaceutical mafia controlling health ministry exposed now,0
pakistan and investment bilateral agreement saudi num sign arabia worth billion dollars,1
leaked army general secretly meeting enemy intelligence agents shocking video evidence exposed and being deleted,0
opposition leader state confesses in by to conspiracy recording audio leaked hidden being against all media,0
breaking civil offshore exposes how whistleblower funds in public servant billions diverted to accounts of officials,0
they dont and to this discovered for you diabetes big miracle cure by hidden know want pharma conspiracy,0
punjab police launches smart surveillance system across num cities to improve law enforcement capabilities,1
famous politician caught video hidden gets on stealing this share deleted before billions camera tonight urgent,0
cpec phase projects by billion worth approved joint num cooperation two dollars committee members,1
polio eradication campaign november million pakistan in children targets across num vaccination drive,1
property prices will collapse num percent next year secret report hidden from public insider source reveals truth,0
civil aviation for domestic airline routes three approval authority grants new connecting smaller cities,1
shocking revelation containers ports through customs goods in banned officials of allowing exchange for massive bribes,0
pakistan and saudi arabia sign bilateral investment agreement worth num billion dollars,1
secret plan to sell pakistan water resources to india approved at midnight nobody in media is reporting this,0
government partners skills to by num with digital microsoft youth train in num deadline,1
government announces solar power plants in num cities to reduce load shedding by num hours daily,1
exposed mobile companies charging customers for nonexistent services regulator bribed to ignore all complaints filed,0
lahore ring road extension completed connecting gt road with motorway interchange reducing traffic,1
